i,v
1290,1.82997
1291,2.22386
1292,2.18001
1293,2.16324
1294,1.88578
1295,1.5346
1296,1.23674
1297,1.05272
1298,1.0305
1299,1.02397
1300,1.02536
1301,1.13977
1302,1.37632
1303,1.59329
1304,1.45476
1305,1.44249
1306,1.27587
1307,1.1082
1308,1.10527
1309,1.07445
1310,1.06213
1311,1.0533
1312,1.1231
1313,1.51339
1314,1.8282
1315,2.22358
1316,2.18027
1317,2.16356
1318,1.88522
1319,1.53447
1320,1.23852
1321,1.05664
1322,1.03623
1323,1.03276
1324,1.03831
1325,1.15606
1326,1.39635
1327,1.61719
1328,1.46239
1329,1.3208
1330,1.14278
1331,0.968385
1332,0.962042
1333,0.943208
1334,0.918268
1335,0.908554
1336,0.975399
1337,1.36573
1338,1.80606
1339,2.21315
1340,2.1706
1341,2.15275
1342,1.87213
1343,1.51928
1344,1.22501
1345,1.04596
1346,1.02871
1347,1.02796
1348,1.03445
1349,1.15274
1350,1.39444
1351,1.61668
1352,1.46157
1353,1.32114
1354,1.14373
1355,0.969321
1356,0.962987
1357,0.943119
1358,0.913332
1359,0.902353
1360,0.971342
1361,1.35872
1362,1.79549
1363,2.20223
1364,2.16031
1365,2.14275
1366,1.8622
1367,1.50819
1368,1.21045
1369,1.02966
1370,1.01114
1371,1.00799
1372,1.01192
1373,1.12759
1374,1.36672
1375,1.53059
1376,1.44613
1377,1.42978
1378,1.26039
1379,1.09131
1380,1.08808
1381,1.07609
1382,1.07602
1383,1.06513
1384,1.12564
1385,1.50448
1386,1.80438
1387,2.19408
1388,2.15324
1389,2.13702
1390,1.85755
1391,1.50205
1392,1.19978
1393,1.01122
1394,0.984329
1395,0.972857
1396,0.969845
1397,1.08152
1398,1.31787
1399,1.47928
1400,1.40637
1401,1.41292
1402,1.26791
1403,1.10555
1404,1.10487
1405,1.07472
1406,1.06378
1407,1.05528
1408,1.12527
1409,1.51579
1410,1.83165
1411,2.22919
1412,2.18702
1413,2.16953
1414,1.8902
1415,1.53723
1416,1.23725
1417,1.0485
1418,1.01882
1419,1.00482
1420,0.999654
1421,1.11335
1422,1.35723
1423,1.51821
1424,1.42562
1425,1.40141
1426,1.24043
1427,1.08101
1428,1.09498
1429,1.10009
1430,1.10367
1431,1.08437
1432,1.13412
1433,1.50813
1434,1.80889
1435,2.20439
1436,2.16463
1437,2.14881
1438,1.86792
1439,1.51399
1440,1.21464
1441,1.0287
1442,1.00691
1443,0.998223
1444,0.994536
1445,1.10523
1446,1.3439
1447,1.50712
1448,1.42308
1449,1.41165
1450,1.25263
1451,1.09223
1452,1.09324
1453,1.07455
1454,1.07136
1455,1.06233
1456,1.12838
1457,1.51432
1458,1.82798
1459,2.22676
1460,2.18474
1461,2.16592
1462,1.88623
1463,1.5323
1464,1.23729
1465,1.05531
1466,1.03292
1467,1.02396
1468,1.01971
1469,1.13361
1470,1.37223
1471,1.53018
1472,1.44306
1473,1.42457
1474,1.25576
1475,1.08821
1476,1.08838
1477,1.0746
1478,1.07156
1479,1.06178
1480,1.12672
1481,1.50765
1482,1.81069
1483,2.20742
1484,2.16784
1485,2.15615
1486,1.88441
1487,1.53346
1488,1.2299
1489,1.05436
1490,1.02902
1491,1.01527
1492,1.01606
1493,1.14488
1494,1.39829
1495,1.56039
1496,1.45256
1497,1.29956
1498,1.12549
1499,0.954609
1500,0.954041
1501,0.956009
1502,0.941925
1503,0.93896
1504,1.00119
1505,1.36986
1506,1.74213
1507,2.20256
1508,2.16374
1509,2.15192
1510,1.87745
1511,1.52382
1512,1.23068
1513,1.05356
1514,1.02977
1515,1.0196
1516,1.01534
1517,1.12909
1518,1.36794
1519,1.52923
1520,1.43556
1521,1.30767
1522,1.13952
1523,0.970322
1524,0.973496
1525,0.960743
1526,0.941697
1527,0.932908
1528,0.997366
1529,1.38054
1530,1.75955
1531,2.22406
1532,2.1834
1533,2.17136
1534,1.89238
1535,1.54598
1536,1.2565
1537,1.08033
1538,1.06116
1539,1.05834
1540,1.0603
1541,1.16787
1542,1.40806
1543,1.50254
1544,1.46626
1545,1.45744
1546,1.30876
1547,1.14118
1548,1.14864
1549,1.13856
1550,1.13328
1551,1.11245
1552,1.16431
1553,1.54391
1554,1.79924
1555,2.2425
1556,2.19355
1557,2.17333
1558,1.8898
1559,1.5319
1560,1.23333
1561,1.04652
1562,1.02006
1563,1.01115
1564,1.00689
1565,1.12164
1566,1.36006
1567,1.45917
1568,1.43007
1569,1.42283
1570,1.25573
1571,1.08473
1572,1.08407
1573,1.055
1574,1.04363
1575,1.03331
1576,1.10393
1577,1.49209
1578,1.74812
1579,2.20343
1580,2.16388
1581,2.14697
1582,1.86634
1583,1.51272
1584,1.21563
1585,1.03762
1586,1.02607
1587,1.02239
1588,1.01868
1589,1.1263
1590,1.35955
1591,1.46079
1592,1.43349
1593,1.4156
1594,1.24533
1595,1.08124
1596,1.08377
1597,1.05931
1598,1.06199
1599,1.06773
1600,1.14794
1601,1.53483
1602,1.78691
1603,2.22969
1604,2.18109
1605,2.16299
1606,1.88878
1607,1.5459
1608,1.25515
1609,1.07752
1610,1.05222
1611,1.03127
1612,1.02432
1613,1.14536
1614,1.3847
1615,1.4796
1616,1.44469
1617,1.43824
1618,1.2815
1619,1.10516
1620,1.09671
1621,1.06652
1622,1.05666
1623,1.04664
1624,1.11717
1625,1.51256
1626,1.77502
1627,2.22204
1628,2.17667
1629,2.1587
1630,1.87715
1631,1.52228
1632,1.22576
1633,1.04245
1634,1.0161
1635,1.00357
1636,0.997611
1637,1.1097
1638,1.35046
1639,1.46713
1640,1.43459
1641,1.414
1642,1.25135
1643,1.08858
1644,1.08722
1645,1.06017
1646,1.05123
1647,1.04204
1648,1.11024
1649,1.49884
1650,1.75647
1651,2.21176
1652,2.17029
1653,2.15225
1654,1.87555
1655,1.52372
1656,1.2284
1657,1.04577
1658,1.03283
1659,1.02581
1660,1.02778
1661,1.12508
1662,1.35111
1663,1.45554
1664,1.41231
1665,1.28069
1666,1.11332
1667,0.946613
1668,0.947252
1669,0.933999
1670,0.910297
1671,0.90201
1672,0.974379
1673,1.36843
1674,1.75341
1675,2.21716
1676,2.17669
1677,2.15949
1678,1.87779
1679,1.52481
1680,1.23132
1681,1.01906
1682,1.01219
1683,1.01103
1684,1.12505
1685,1.36359
1686,1.64071
1687,1.61938
1688,1.3241
1689,1.15013
1690,0.9747
1691,0.961345
1692,0.941836
1693,0.914729
1694,0.907487
1695,0.977364
1696,1.36347
1697,1.73904
1698,1.86323
1699,2.16275
1700,2.15269
1701,1.87864
1702,1.52938
1703,1.23716
1704,1.0598
1705,1.03534
1706,1.02622
1707,1.03109
1708,1.15302
1709,1.39846
1710,1.67315
1711,1.59909
1712,1.47135
1713,1.28546
1714,1.10596
1715,1.09929
1716,1.05996
1717,1.05069
1718,1.04861
1719,1.11748
1720,1.50085
1721,1.75041
1722,1.8666
1723,2.16819
1724,2.15543
1725,1.87832
1726,1.52593
1727,1.22702
1728,1.04295
1729,1.01757
1730,1.00817
1731,1.00222
1732,1.11883
1733,1.36113
1734,1.63074
1735,1.55618
1736,1.44747
1737,1.28577
1738,1.12746
1739,1.13603
1740,1.1156
1741,1.11675
1742,1.11337
1743,1.19904
1744,1.5867
1745,1.82926
1746,1.93105
1747,2.16819
1748,2.20709
1749,1.92935
1750,1.57933
1751,1.28139
1752,1.09968
1753,1.07742
1754,1.06678
1755,1.0604
1756,1.16925
1757,1.40329
1758,1.67455
1759,1.6001
1760,1.48339
1761,1.31294
1762,1.13547
1763,1.12427
1764,1.09081
1765,1.07838
1766,1.06559
1767,1.13492
1768,1.52293
1769,1.77839
1770,1.89056
1771,2.13203
1772,2.17824
1773,1.89645
1774,1.54501
1775,1.25405
1776,1.07487
1777,1.0579
1778,1.05542
1779,1.05093
1780,1.16174
1781,1.39854
1782,1.67028
1783,1.59805
1784,1.50073
1785,1.3564
1786,1.20163
1787,1.21751
1788,1.19474
1789,1.16152
1790,1.10766
1791,1.14988
1792,1.53369
1793,1.78972
1794,1.90251
1795,2.14855
1796,2.1921
1797,1.91632
1798,1.5673
1799,1.27061
1800,1.08686
1801,1.06436
1802,1.05837
1803,1.06036
1804,1.17357
1805,1.41933
1806,1.7005
1807,1.6278
1808,1.49343
1809,1.30676
1810,1.13241
1811,1.12827
1812,1.0967
1813,1.07847
1814,1.06335
1815,1.12505
1816,1.50633
1817,1.75899
1818,1.87432
1819,2.11868
1820,2.16525
1821,1.89055
1822,1.53975
1823,1.24505
1824,1.06915
1825,1.04696
1826,1.03497
1827,1.03153
1828,1.14892
1829,1.38627
1830,1.65684
1831,1.57365
1832,1.33685
1833,1.16254
1834,0.986072
1835,0.977471
1836,0.958905
1837,0.922598
1838,0.904338
1839,0.972508
1840,1.36065
1841,1.73916
1842,1.86524
1843,2.10742
1844,2.15147
1845,1.87379
1846,1.52354
1847,1.23109
1848,1.05486
1849,1.03789
1850,1.03672
1851,1.04015
1852,1.15357
1853,1.39883
1854,1.67876
1855,1.58852
1856,1.33754
1857,1.15833
1858,0.983091
1859,0.97316
1860,0.949026
1861,0.910699
1862,0.897085
1863,0.966847
1864,1.35406
1865,1.73259
1866,1.85517
1867,2.0975
1868,2.14462
