index,usage,solar,rate
401,1.52152,0,0.2662364
402,2.04347,0,0.34301372
403,2.22097,0,0.34301372
404,2.18953,0,0.34301372
405,2.17596,0,0.2662364
406,1.90349,0,0.2662364
407,1.558,0,0.2662364
408,1.26541,0,0.2662364
409,1.09193,0,0.2662364
410,1.08647,0,0.2662364
411,1.08075,0,0.2662364
412,1.07667,0,0.2662364
413,1.19229,0,0.2662364
414,1.43502,0,0.2662364
415,1.70808,0,0.2662364
416,1.62083,0.06032,0.2662364
417,1.48493,0.770234,0.2662364
418,1.30802,1.83894,0.2662364
419,1.13324,1.52889,0.34301372
420,1.12958,2.67778,0.34301372
421,1.0978,2.93388,0.34301372
422,1.08846,2.75978,0.45828372
423,1.07683,2.2723,0.45828372
424,1.13956,1.70562,0.45828372
425,1.52117,0,0.45828372
426,2.06166,0,0.45828372
427,2.23616,0,0.45828372
428,2.19583,0,0.34301372
429,2.1848,0,0.34301372
430,1.9155,0,0.2662364
431,1.57117,0,0.2662364
432,1.273,0,0.2662364
433,1.08919,0,0.2662364
434,1.06518,0,0.2662364
435,1.05299,0,0.2662364
436,1.04753,0,0.2662364
437,1.15714,0,0.2662364
438,1.4,0,0.2662364
439,1.68027,0,0.2662364
440,1.60916,0,0.2662364
441,1.47999,0.237904,0.2662364
442,1.30332,0.990134,0.2662364
443,1.13082,2.50281,0.34301372
444,1.12732,2.88279,0.34301372
445,1.09717,2.87463,0.34301372
446,1.08223,2.80055,0.45828372
447,1.06817,2.33133,0.45828372
448,1.13286,1.63813,0.45828372
449,1.5233,0,0.45828372
450,2.06759,0,0.45828372
451,2.23784,0,0.45828372
452,2.19443,0,0.34301372
453,2.17705,0,0.34301372
454,1.91199,0,0.2662364
455,1.57129,0,0.2662364
456,1.2936,0,0.2662364
457,1.12254,0,0.2662364
458,1.10192,0,0.2662364
459,1.10195,0,0.2662364
460,1.10773,0,0.2662364
461,1.23141,0,0.2662364
462,1.46206,0,0.2662364
463,1.73507,0,0.2662364
464,1.65826,0.0957525,0.2662364
465,1.5105,1.11206,0.2662364
466,1.31642,1.95086,0.2662364
467,1.12692,2.50307,0.34301372
468,1.11994,2.85132,0.34301372
469,1.08931,2.76689,0.34301372
470,1.08153,2.80661,0.45828372
471,1.07313,2.48783,0.45828372
472,1.13735,1.78048,0.45828372
473,1.51816,0,0.45828372
474,2.05736,0,0.45828372
475,2.23152,0,0.45828372
476,2.19366,0,0.34301372
477,2.18921,0,0.34301372
478,1.92649,0,0.2662364
479,1.58151,0,0.2662364
480,1.28604,0,0.2662364
481,1.10697,0,0.2662364
482,1.098,0,0.2662364
483,1.10438,0,0.2662364
484,1.10826,0,0.2662364
485,1.21872,0,0.2662364
486,1.46447,0,0.2662364
487,1.73844,0,0.2662364
488,1.64449,0.0838121,0.2662364
489,1.3915,0.696677,0.2662364
490,1.2051,1.81864,0.2662364
491,1.01794,2.57897,0.34301372
492,1.00464,2.91149,0.34301372
493,0.98318,2.97306,0.34301372
494,0.949207,2.89524,0.45828372
495,0.93182,2.28747,0.45828372
496,1.00123,1.68202,0.45828372
497,1.3977,0.681136,0.45828372
498,2.06795,0,0.45828372
499,2.24938,0,0.45828372
500,2.20526,0,0.34301372
501,2.1844,0,0.34301372
502,1.90062,0,0.2662364
503,1.54561,0,0.2662364
504,1.24536,0,0.2662364
505,1.05855,0,0.2662364
506,1.03127,0,0.2662364
507,1.01859,0,0.2662364
508,1.01875,0,0.2662364
509,1.12967,0,0.2662364
510,1.37556,0,0.2662364
511,1.66035,0,0.2662364
512,1.57558,0,0.2662364
513,1.34145,0.168898,0.2662364
514,1.17945,0.388414,0.2662364
515,1.0221,0.427667,0.34301372
516,1.007,1.56556,0.34301372
517,0.982083,2.86109,0.34301372
518,0.951584,2.72154,0.45828372
